Year,Match date,Stage,Stadium,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Group
2018,27/06/2018 17:00,3,Ekaterinburg Stadium,Mexico,,,Sweden,Group F
2018,27/06/2018 17:00,3,Kazan Arena,Korea Republic,,,Germany,Group F
2018,27/06/2018 21:00,3,"Otkrytiye Arena, Moscow",Serbia,,,Brazil,Group E
2018,27/06/2018 21:00,3,Nizhny Novgorod Stadium,Switzerland,,,Costa Rica,Group E
2018,28/06/2018 17:00,3,Volgograd Stadium,Japan,,,Poland,Group H
2018,28/06/2018 17:00,3,Samara Stadium,Senegal,,,Colombia,Group H
2018,28/06/2018 21:00,3,Saransk Stadium,Panama,,,Tunisia,Group G
2018,28/06/2018 21:00,3,Kaliningrad Stadium,England,,,Belgium,Group G
2018,30/06/2018 17:00,Round of 16,Kazan Arena,Winner Group C,,,Runner-up Group D,
2018,30/06/2018 21:00,Round of 16,"Fisht Stadium, Sochi",Winner Group A,,,Runner-up Group B,
2018,01/07/2018 17:00,Round of 16,"Luzhniki Stadium, Moscow",Winner Group B,,,Runner-up Group A,
2018,01/07/2018 21:00,Round of 16,Nizhny Novgorod Stadium,Winner Group D,,,Runner-up Group C,
2018,02/07/2018 17:00,Round of 16,Samara Stadium,Winner Group E,,,Runner-up Group F,
2018,02/07/2018 21:00,Round of 16,Rostov-on-Don Stadium,Winner Group G,,,Runner-up Group H,
2018,03/07/2018 17:00,Round of 16,Saint Petersburg Stadium,Winner Group F,,,Runner-up Group E,
2018,03/07/2018 21:00,Round of 16,"Otkrytiye Arena, Moscow",Winner Group H,,,Runner-up Group G,
2018,06/07/2018 17:00,Quarter Finals,Nizhny Novgorod Stadium,To be announced,,,To be announced,
2018,06/07/2018 21:00,Quarter Finals,Kazan Arena,To be announced,,,To be announced,
2018,07/07/2018 17:00,Quarter Finals,Samara Stadium,To be announced,,,To be announced,
2018,07/07/2018 21:00,Quarter Finals,"Fisht Stadium, Sochi",To be announced,,,To be announced,
2018,10/07/2018 21:00,Semi Finals,Saint Petersburg Stadium,To be announced,,,To be announced,
2018,11/07/2018 21:00,Semi Finals,"Luzhniki Stadium, Moscow",To be announced,,,To be announced,
2018,14/07/2018 17:00,Finals,Saint Petersburg Stadium,To be announced,,,To be announced,
2018,15/07/2018 18:00,Finals,"Luzhniki Stadium, Moscow",To be announced,,,To be announced,
